Date,Year,Month,MonthName,Quarter,StoreID,StoreName,Region,County,StoreType,Category,DonationsLbs,Revenue,UnitsSold,COGS,GrossProfit,GrossMarginPct,RevenuePerLb
2023-01-01,2023,1,Jan,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Clothing,425,532.88,110,99.01,433.87,0.8142,1.254
2023-01-01,2023,1,Jan,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Furniture,298,323.71,16,89.66,234.04999999999998,0.723,1.086
2023-01-01,2023,1,Jan,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Electronics,165,189.48,6,39.87,149.60999999999999,0.7896,1.148
2023-01-01,2023,1,Jan,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Books & Media,56,106.65,12,20.68,85.97,0.8061,1.904
2023-01-01,2023,1,Jan,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Housewares,191,108.12,10,21.62,86.5,0.8,0.566
2023-01-01,2023,1,Jan,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Shoes,135,181.84,20,35.83,146.01,0.803,1.347
2023-01-01,2023,1,Jan,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Accessories,86,170.61,39,42.38,128.23000000000002,0.7516,1.984
2023-01-01,2023,1,Jan,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Sports & Leisure,62,5.78,1,1.57,4.21,0.7284,0.093
2023-02-01,2023,2,Feb,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Clothing,451,603.42,76,141.61,461.80999999999995,0.7653,1.338
2023-02-01,2023,2,Feb,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Furniture,280,275.89,11,55.07,220.82,0.8004,0.985
2023-02-01,2023,2,Feb,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Electronics,160,112.45,3,29.56,82.89,0.7371,0.703
2023-02-01,2023,2,Feb,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Books & Media,147,40.02,8,10.41,29.610000000000003,0.7399,0.272
2023-02-01,2023,2,Feb,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Housewares,257,296.52,30,76.24,220.27999999999997,0.7429,1.154
2023-02-01,2023,2,Feb,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Shoes,134,155.19,14,37.61,117.58,0.7577,1.158
2023-02-01,2023,2,Feb,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Accessories,110,102.41,16,25.91,76.5,0.747,0.931
2023-02-01,2023,2,Feb,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Sports & Leisure,64,136.49,30,34.3,102.19000000000001,0.7487,2.133
2023-03-01,2023,3,Mar,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Clothing,604,653.3,84,151.74,501.55999999999995,0.7677,1.082
2023-03-01,2023,3,Mar,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Furniture,276,282.24,7,65.16,217.08,0.7691,1.023
2023-03-01,2023,3,Mar,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Electronics,196,169.25,2,34.34,134.91,0.7971,0.864
2023-03-01,2023,3,Mar,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Books & Media,113,120.83,10,31.51,89.32,0.7392,1.069
2023-03-01,2023,3,Mar,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Housewares,264,308.45,60,83.05,225.39999999999998,0.7308,1.168
2023-03-01,2023,3,Mar,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Shoes,153,184.11,33,41.0,143.11,0.7773,1.203
2023-03-01,2023,3,Mar,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Accessories,21,169.74,31,32.59,137.15,0.808,8.083
2023-03-01,2023,3,Mar,Q1,S01,West Palm Beach - Okeechobee,Palm Beaches,Palm Beach,Full,Sports & Leisure,66,103.12,13,25.81,77.31,0.7497,1.562
